Ind,Sample,First_Assign,First_Per,Second_Assign,Second_Per,Third_Assign,Third_Per,Fourth_Assign,Fourth_Per,Fifth_Assign,Fifth_Per
QAc-G-0255,/Peckerwood,Kessler,85.424,Magazine,13.955,Pryor,0.616,Sugar_Loaf,0.005,Porter,0
QAc-G-0256,/Peckerwood,Magazine,100,Pryor,0,Kessler,0,Porter,0,Sugar_Loaf,0
QAc-G-0257,/Peckerwood,Kessler,97.787,Magazine,2.192,Pryor,0.021,Sugar_Loaf,0,Porter,0
QAc-G-0258,/Peckerwood,Kessler,99.822,Magazine,0.178,Sugar_Loaf,0,Pryor,0,Porter,0
QAc-G-0259,/Peckerwood,Kessler,100,Pryor,0,Magazine,0,Porter,0,Sugar_Loaf,0
QAc-G-0260,/Peckerwood,Kessler,99.997,Magazine,0.003,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0261,/Peckerwood,Kessler,77.329,Magazine,21.579,Pryor,1.091,Porter,0.001,Sugar_Loaf,0
QAc-G-0262,/Peckerwood,Kessler,99.998,Pryor,0.002,Magazine,0,Porter,0,Sugar_Loaf,0
QAc-G-0010,/TMA,Kessler,92.784,Magazine,7.21,Pryor,0.005,Porter,0,Sugar_Loaf,0
QAc-G-0011,/TMA,Kessler,97.813,Porter,1.635,Magazine,0.549,Pryor,0.003,Sugar_Loaf,0
QAc-G-0015,/TMA,Magazine,95.501,Kessler,3.336,Pryor,1.163,Sugar_Loaf,0,Porter,0
QAc-G-0106,/TMA,Kessler,99.297,Magazine,0.649,Pryor,0.054,Porter,0,Sugar_Loaf,0
QAc-G-0107,/TMA,Magazine,98.497,Kessler,1.496,Porter,0.007,Pryor,0,Sugar_Loaf,0
QAc-G-0108,/TMA,Magazine,96.066,Porter,2.76,Kessler,1.173,Sugar_Loaf,0,Pryor,0
QAc-G-0109,/TMA,Magazine,99.99,Kessler,0.01,Sugar_Loaf,0,Pryor,0,Porter,0
QAc-G-0110,/TMA,Magazine,93.643,Kessler,6.251,Sugar_Loaf,0.105,Porter,0.001,Pryor,0
QAc-G-0111,/TMA,Magazine,98.773,Kessler,1.227,Porter,0,Pryor,0,Sugar_Loaf,0
QAc-G-0112,/TMA,Magazine,65.554,Kessler,34.445,Pryor,0.002,Sugar_Loaf,0,Porter,0
QAc-G-0113,/TMA,Magazine,100,Kessler,0,Porter,0,Pryor,0,Sugar_Loaf,0
QAc-G-0114,/TMA,Magazine,99.154,Kessler,0.59,Pryor,0.255,Sugar_Loaf,0,Porter,0
